Test Case ID,Description,Enabled,Data File (if not specified default file will be searched according to convention),Parameters
navigation,navigation example,1,,
signup,Signup Example,1,,
login,login example,1,,
Console,run console commands,0,,
SavePerson,Save Person entity,0,,
Login_1,LogIn in to banking application,0,testData,
Logout_1,Logout from banking application,0,,
DepositCash,Deposit cash,0,QueryOptimization_data,
QueryOptimization,Check weather normal and optimized query are equivalent ,0,,
OpenZeenUI,configure and Open ZeenUI for testing,0,,
OpenProject,Open an existing test Project in ZeenUI,0,,
NavExpo,Navigate to expoloader,0,,
LoginExpo,Login to expoloader,0,,
Loading,loading use case,0,,
jbOpenPortal,iframe example using Bonita portal,0,,
jbDataEntryBasic,iframe example using Bonita portal,0,,
curl,api examples. Curl is used for api requests,0,,
apiDataEntryBasic,How to do data entry using bonita api,0,,
register,Register example,0,,
